metric_id,metric_name,metric_value,create_date
536,sys_wkld,20,2018-04-16 13:30:00.000
537,request_count,4308,2018-04-16 13:30:00.000
538,request_count,4228,2018-04-16 13:31:00.000
539,order_creates,3,2018-04-16 13:32:00.000
540,session_count,831,2018-04-16 13:32:00.000
541,sys_wkld,5,2018-04-16 13:32:00.000
542,session_count,856,2018-04-16 13:34:00.000
543,sys_wkld,21,2018-04-16 13:34:00.000
544,order_creates,0,2018-04-16 14:05:00.000
545,session_count,856,2018-04-16 14:05:00.000
546,sys_wkld,12,2018-04-16 14:05:00.000
547,request_count,4201,2018-04-16 14:08:00.000
548,request_count,4596,2018-04-16 13:41:00.000
549,request_count,4393,2018-04-16 13:42:00.000
550,basket_updates,431,2018-04-16 13:42:00.000
551,basket_creates,309,2018-04-16 13:42:00.000
552,order_creates,0,2018-04-16 13:44:00.000
553,session_count,927,2018-04-16 13:44:00.000
554,sys_wkld,18,2018-04-16 13:45:00.000
555,request_count,4552,2018-04-16 13:45:00.000
556,basket_updates,517,2018-04-16 13:45:00.000
557,sys_wkld,16,2018-04-16 13:47:00.000
558,basket_updates,714,2018-04-16 13:52:00.000
559,basket_creates,204,2018-04-16 13:52:00.000
560,order_creates,3,2018-04-16 13:53:00.000
561,session_count,786,2018-04-16 13:53:00.000
562,sys_wkld,25,2018-04-16 13:53:00.000
563,basket_updates,787,2018-04-16 13:55:00.000
564,basket_creates,190,2018-04-16 13:55:00.000
565,order_creates,4,2018-04-16 13:56:00.000
566,session_count,742,2018-04-16 13:56:00.000
567,sys_wkld,7,2018-04-16 13:56:00.000
568,order_creates,3,2018-04-16 14:08:00.000
569,session_count,795,2018-04-16 14:08:00.000
570,sys_wkld,19,2018-04-16 14:08:00.000
571,basket_updates,602,2018-04-16 14:08:00.000
572,basket_creates,153,2018-04-16 14:08:00.000
573,order_creates,0,2018-04-16 14:10:00.000
574,session_count,730,2018-04-16 14:10:00.000
575,sys_wkld,13,2018-04-16 14:10:00.000
576,request_count,4139,2018-04-16 14:10:00.000
577,request_count,4177,2018-04-16 14:11:00.000
578,order_creates,1,2018-04-16 18:25:00.000
579,session_count,949,2018-04-16 18:25:00.000
580,sys_wkld,20,2018-04-16 18:25:00.000
581,request_count,4596,2018-04-16 18:37:00.000
582,basket_updates,810,2018-04-16 18:38:00.000
583,basket_creates,188,2018-04-16 18:38:00.000
584,order_creates,0,2018-04-16 18:39:00.000
585,session_count,893,2018-04-16 18:46:00.000
586,sys_wkld,20,2018-04-16 18:46:00.000
587,session_count,922,2018-04-16 18:47:00.000
588,sys_wkld,6,2018-04-16 18:47:00.000
589,order_creates,1,2018-04-16 18:48:00.000
590,order_creates,3,2018-04-16 18:49:00.000
591,request_count,4603,2018-04-16 18:49:00.000
592,basket_updates,461,2018-04-16 17:42:00.000
593,basket_creates,163,2018-04-16 17:42:00.000
594,request_count,4452,2018-04-16 17:55:00.000
595,order_creates,1,2018-04-16 17:56:00.000
596,session_count,907,2018-04-16 17:56:00.000
597,request_count,4514,2018-04-16 17:57:00.000
598,order_creates,1,2018-04-16 17:58:00.000
599,basket_updates,519,2018-04-16 18:00:00.000
600,basket_creates,157,2018-04-16 18:00:00.000
601,basket_updates,516,2018-04-16 18:01:00.000
602,basket_creates,144,2018-04-16 18:01:00.000
603,basket_updates,453,2018-04-16 18:53:00.000
604,basket_creates,176,2018-04-16 18:53:00.000
605,request_count,4554,2018-04-16 18:54:00.000
606,basket_updates,632,2018-04-16 18:02:00.000
607,sys_wkld,24,2018-04-16 18:03:00.000
608,sys_wkld,12,2018-04-16 18:04:00.000
609,order_creates,0,2018-04-17 00:10:00.000
610,session_count,501,2018-04-17 00:10:00.000
611,sys_wkld,2,2018-04-17 00:10:00.000
612,sys_wkld,15,2018-04-17 00:11:00.000
613,request_count,1424,2018-04-17 00:11:00.000
614,session_count,550,2018-04-17 00:12:00.000
615,sys_wkld,3,2018-04-17 00:12:00.000
616,request_count,1527,2018-04-17 00:12:00.000
617,session_count,624,2018-04-17 00:16:00.000
618,sys_wkld,15,2018-04-17 00:16:00.000
619,request_count,1545,2018-04-17 00:18:00.000
620,request_count,1555,2018-04-17 00:13:00.000
621,request_count,1569,2018-04-17 00:14:00.000
622,session_count,502,2018-04-17 00:15:00.000
623,sys_wkld,16,2018-04-17 00:15:00.000
624,basket_updates,277,2018-04-17 00:10:00.000
625,basket_creates,108,2018-04-17 00:10:00.000
626,session_count,486,2018-04-17 00:11:00.000
627,basket_updates,198,2018-04-17 00:11:00.000
628,basket_creates,114,2018-04-17 00:11:00.000
629,basket_updates,201,2018-04-17 00:12:00.000
630,basket_creates,111,2018-04-17 00:12:00.000
631,session_count,517,2018-04-17 00:13:00.000
632,sys_wkld,7,2018-04-17 00:13:00.000
633,basket_updates,169,2018-04-17 00:13:00.000
634,basket_creates,103,2018-04-17 00:13:00.000
635,order_creates,0,2018-04-17 00:14:00.000
636,session_count,484,2018-04-17 00:14:00.000
637,sys_wkld,14,2018-04-17 00:14:00.000
638,sys_wkld,14,2018-04-17 00:19:00.000
639,request_count,1586,2018-04-17 00:20:00.000
640,order_creates,0,2018-04-17 00:21:00.000
641,basket_updates,191,2018-04-17 00:21:00.000
642,basket_creates,186,2018-04-17 00:21:00.000
643,session_count,520,2018-04-17 00:23:00.000
644,sys_wkld,14,2018-04-17 00:23:00.000
645,session_count,548,2018-04-17 00:24:00.000
646,sys_wkld,4,2018-04-17 00:24:00.000
647,basket_updates,178,2018-04-17 00:24:00.000
648,basket_creates,174,2018-04-17 00:24:00.000
649,session_count,523,2018-04-17 00:25:00.000
650,sys_wkld,17,2018-04-17 00:25:00.000
651,session_count,582,2018-04-17 00:26:00.000
652,sys_wkld,12,2018-04-17 00:26:00.000
653,order_creates,0,2018-04-17 00:27:00.000
654,basket_updates,186,2018-04-17 00:28:00.000
655,basket_creates,206,2018-04-17 00:28:00.000
656,order_creates,0,2018-04-17 00:30:00.000
657,session_count,631,2018-04-17 00:30:00.000
