payment_method_id,npayment_method_id,display_name
510003,BANK_TRANSFER,Bank Transfer
510004,BML,Bill Me Later
510005,DW_APPLE_PAY,Apple Pay
510006,DW_ANDROID_PAY,Android Pay
990004,DW_APPLE_PAY,Apple Pay
990005,DW_ANDROID_PAY,Android Pay
1000001,Paypal,Paypal
1000002,PROCESSOUT_CARD,Bank Card
520001,DEDUCTION_FROM_SALARY,Deduction From Salary
530001,PAYMENT_ON_PAYU,Credit Card
540001,PayPal,PayPal
470008,PayPal,PayPal
490001,PAYMENT_ON_PAYU,PayU
10046,PayPal,Pay Pal
560001,GIFT_CERTIFICATE,Gift Certificate
560003,BANK_TRANSFER,Bank Transfer
560004,BML,Bill Me Later
560005,DW_APPLE_PAY,Apple Pay
560006,DW_ANDROID_PAY,Android Pay
560007,PayPal,PayPal
560008,PAYMENTTECH_GIFTCARD,Gift Card
560009,Adyen,PayPal
560010,GIFT_CERTIFICATE,Gift Certificate
560011,CREDIT_CARD,Credit Card
560012,BANK_TRANSFER,Bank Transfer
560013,BML,Bill Me Later
560014,DW_APPLE_PAY,Apple Pay
470002,Adyen,Adyen
550002,KLARNA_PAYLATER,Klarna Pay later
550001,KLARNA_PAYOVERTIME,Klarna Pay over time
560002,CREDIT_CARD,Credit Card
990001,CREDIT_CARD,Credit Card
560015,DW_ANDROID_PAY,Android Pay
570001,GRATIS,GRATIS
580001,GRATIS,GRATIS
580002,PayPal,PayPal
580003,HostedCreditCard,Hosted Credit Card
590001,PayPal,PayPal
600001,GIFT_CERTIFICATE,Gift Certificate
1430002,HostedCreditCard,Hosted Credit Card
600003,BANK_TRANSFER,Bank Transfer
600004,BML,Bill Me Later
600005,DW_APPLE_PAY,Apple Pay
600006,DW_ANDROID_PAY,Android Pay
600007,PayPal,Pay Payl
600009,GIFT_CERTIFICATE,Gift Certificate
600010,CREDIT_CARD,Credit Card
600011,BANK_TRANSFER,Bank Transfer
600012,BML,Bill Me Later
600013,DW_APPLE_PAY,Apple Pay
600014,DW_ANDROID_PAY,Android Pay
600015,GIFT_CERTIFICATE,Gift Certificate
600017,BANK_TRANSFER,Bank Transfer
600018,BML,Bill Me Later
