visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-29,112,false,Browser,Safari,WebKit,macOS 10.13 High Sierra,macOS,Desktop,Mac,Apple,69,UNKNOWN_LOCALE
2019-06-29,1302,false,Mobile browser,Instagram App,WebKit/Blink,iOS 12,iOS,Smartphone,iPhone 8 Plus,Apple,69,UNKNOWN_LOCALE
2019-06-27,901,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Mate 20,Huawei,2,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,2.1,Nokia,2,UNKNOWN_LOCALE
2019-06-27,113,false,Mobile browser,Android webview,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Honor 8X,Huawei,2,UNKNOWN_LOCALE
2019-06-27,1303,false,Mobile browser,Facebook App,WebKit,iOS 12,iOS,Smartphone,iPhone SE,Apple,2,UNKNOWN_LOCALE
2019-06-27,1101,false,Mobile browser,Instagram App,WebKit/Blink,iOS 12,iOS,Smartphone,iPhone 8,Apple,2,UNKNOWN_LOCALE
2019-06-27,302,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,Nexus 5,LG,2,UNKNOWN_LOCALE
2019-06-27,117,false,Mobile browser,Instagram App,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy S8,Samsung,2,UNKNOWN_LOCALE
2019-06-27,308,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Mate 20 Lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,112,false,E-mail client,Apple Mail,WebKit,macOS 10.14 Mojave,macOS,Desktop,Mac,Apple,2,UNKNOWN_LOCALE
2019-06-27,501,false,Mobile browser,Instagram App,WebKit/Blink,iOS 12,iOS,Smartphone,iPhone SE,Apple,2,UNKNOWN_LOCALE
2019-06-27,601,false,Mobile browser,Android webview,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,P20 Lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,114,false,Mobile browser,Firefox mobile,Gecko,Android 4.4 KitKat,Android,Smartphone,unknown,unknown,2,UNKNOWN_LOCALE
2019-06-27,601,false,Mobile browser,Facebook App,WebKit,Android 8.0 Oreo,Android,Smartphone,Galaxy J8,Samsung,2,UNKNOWN_LOCALE
