recommendation_date,site_id,recommender_name,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-02-03,302,PDP-Real-Time,4148,12444,149,23,1,1,42.420000
2020-02-03,112,Real-Time-Recommendations-PDP,10269,102500,665,77,19,17,531.740000
2020-02-03,121,Checkout-Real-Time,502,3012,37,10,2,2,73.170000
2020-02-03,121,Search-All-Categ,7,42,0,0,0,0,0.000000
2020-02-03,106,PDP-real-time,2923,8540,191,20,6,3,130.500000
2020-02-03,106,Checkout,511,2447,26,15,5,3,97.540000
2020-02-03,109,product-to-product-PDP-Full-Predictive,17789,88731,1041,117,17,15,556.870000
2020-02-03,112,Cart-Page-All-Categories,1042,5210,24,0,0,0,0.000000
2020-02-03,302,Search,7,42,1,0,0,0,0.000000
2020-02-03,106,Search,18,92,0,0,0,0,0.000000
2020-02-03,109,product-to-product-AddToCart,34736,103467,1885,368,73,62,2122.430000
2020-02-03,302,Checkout,758,4548,24,10,4,3,77.560000
2020-02-15,302,PDP-Real-Time,5901,17703,352,67,14,12,383.870000
2020-02-15,109,products-in-all-categories-Cart-Page,1566,15548,61,14,5,4,156.210000
2020-02-15,109,product-to-product-PDP-Full-Predictive,16102,80337,1005,125,31,24,965.100000
2020-02-03,121,PDP-RealTime,1441,4323,54,7,2,2,51.750000
2020-02-15,121,Search-All-Categ,4,24,0,0,0,0,0.000000
2020-02-16,121,Search-All-Categ,4,24,0,0,0,0,0.000000
2020-02-16,112,Real-Time-Recommendations-PDP,11621,116183,783,117,36,32,1116.800000
2020-02-16,309,Einstein-Cart-Page,170,849,5,3,2,2,59.120000
2020-02-16,112,Real-Time-Recommendations-Add-to-Cart-Popup,21046,105199,1675,412,107,90,3217.440000
2020-02-16,109,product-to-product-PDP-Full-Predictive,18855,94086,1293,158,25,25,734.010000
2020-02-16,121,PDP-RealTime,1517,4551,104,21,1,1,25.500000
2020-02-16,112,Cart-Page-All-Categories,1161,5805,36,2,0,0,0.000000
2020-02-16,109,product-to-product-AddToCart,37250,111332,2033,420,83,68,2415.630000
2020-02-16,106,Checkout,388,1884,13,1,0,0,0.000000
2020-02-16,106,PDP-real-time,2946,8700,157,12,6,4,151.670000
2020-02-16,302,PDP-Real-Time,4992,14976,197,15,2,2,43.330000
2020-02-16,106,Search,12,64,0,0,0,0,0.000000
2020-02-16,302,Checkout,795,4770,30,5,7,4,128.140000
2020-02-16,302,Search,9,54,3,1,1,1,17.150000
2020-02-16,109,products-in-all-categories-Cart-Page,1792,17789,82,15,3,3,133.410000
2020-02-16,121,Checkout-Real-Time,313,1878,17,0,0,0,0.000000
2020-02-14,106,Search,7,38,1,1,0,0,0.000000
2020-02-14,121,Checkout-Real-Time,356,2136,22,8,1,1,38.320000
2020-02-14,112,Real-Time-Recommendations-PDP,7611,75976,473,74,14,12,398.070000
2020-02-14,112,Real-Time-Recommendations-Add-to-Cart-Popup,13809,69058,1027,292,71,54,2100.330000
2020-02-14,121,PDP-RealTime,1541,4623,137,26,5,4,102.970000
2020-02-14,302,PDP-Real-Time,6356,19068,343,56,20,16,388.850000
2020-02-14,109,products-in-all-categories-Cart-Page,1964,19497,70,17,3,3,80.740000
2020-02-14,121,Search-All-Categ,5,30,0,0,0,0,0.000000
2020-02-14,302,Search,21,126,1,0,0,0,0.000000
2020-02-01,106,Checkout,371,1767,14,1,0,0,0.000000
2020-02-01,106,PDP-real-time,2927,8569,144,11,1,1,25.960000
2020-02-01,109,product-to-product-PDP-Full-Predictive,16215,80894,1008,107,17,16,454.950000
2020-02-01,121,Checkout-Real-Time,471,2826,34,15,6,3,71.920000
2020-02-01,302,Search,9,54,1,0,0,0,0.000000
2020-02-01,302,PDP-Real-Time,6963,20889,217,37,8,6,165.050000
2020-02-01,302,Checkout,1108,6648,39,14,3,3,51.480000
2020-02-01,121,PDP-RealTime,1502,4506,57,5,1,1,80.000000
2020-02-01,106,Search,11,60,2,0,0,0,0.000000
2020-02-01,121,Search-All-Categ,5,30,1,1,0,0,0.000000
2020-02-01,109,product-to-product-AddToCart,32180,95817,1767,315,68,51,2056.170000
2020-02-01,112,Cart-Page-All-Categories,997,4985,28,5,0,0,0.000000
2020-02-01,109,products-in-all-categories-Cart-Page,1648,16324,60,19,4,3,62.120000
2020-02-01,112,Real-Time-Recommendations-Add-to-Cart-Popup,17033,85137,1290,317,85,69,2756.040000
2020-02-01,112,Real-Time-Recommendations-PDP,9617,96110,639,91,25,23,895.910000
2020-02-17,121,PDP-RealTime,1354,4062,100,9,3,1,42.620000
2020-02-17,112,Real-Time-Recommendations-PDP,9529,95230,587,73,26,24,793.010000
2020-02-17,309,Einstein-Cart-Page,65,325,4,0,0,0,0.000000
2020-02-17,112,Cart-Page-All-Categories,971,4855,25,4,1,1,39.990000
2020-02-17,106,Search,16,84,2,0,0,0,0.000000
2020-02-17,109,product-to-product-PDP-Full-Predictive,17430,86887,1115,144,26,23,776.440000
