coupon_id,ncoupon_id,coupon_type,description,is_enabled,redemption_limit,codes_count
20193,SKIN,1,null,true,0,1
20177,PLANKTON,1,null,true,0,1
10258,LANCOME20,1,null,true,0,1
10259,VIP3,1,null,true,0,1
10260,MYSTERE,1,null,true,0,1
10261,TEST-single,1,null,true,0,1
10262,PL NYX fail99,1,null,true,0,1
10263,PL NYX SORRY4,1,null,true,0,1
10264,PL NYX MIXER,1,null,true,0,1
10265,PL NYX HAPPY2017,1,null,true,0,1
10266,PL Valentine Employee 30,1,null,true,0,1
10267,PL NYX USTA,1,null,true,0,1
10268,NYXCOSMETICS10,1,null,true,10,1
10269,NYXCOSMETICS20,1,null,true,10,1
10270,PL NYX FRIDAY13,1,null,true,0,1
10271,PL NYX HAPPYEASTER,1,null,true,0,1
10272,PL_NYX_GrandOpening,1,-20% for 1st shopping,true,0,1
10273,PL NYX SALE30,1,null,true,0,1
10274,PL BLACK FRIDAY NYX20%,1,null,true,0,1
10275,PL NYX FEVER,1,null,true,0,1
10276,PL NYX EMPLOYEE20,1,null,true,0,1
10277,PL NYX NYXNIGHT,1,null,true,0,1
10278,PL Valentine Employee Friends 30,1,null,true,0,1
10279,PL NYX SUPERLUTY,1,null,true,0,1
10280,PL NYX TOTALCONTROL,1,null,true,0,1
10281,PL MUA programme,1,null,true,0,1
10282,PL NYX BESTDAYEVER,1,null,true,0,1
10283,PL NYX IFS JSAH92,1,null,true,0,1
10284,PL NYX NYXPRO,1,null,true,0,1
10285,PL NYX Free shipping 69zl,1,null,true,0,1
10286,PL NYX Women Day,1,null,true,0,1
10287,pl-20%-off-face,1,null,true,0,1
10288,CZ_Marianne Days_sorry,1,null,true,160,1
10289,PL NYX XMAS20,1,null,true,0,1
10290,PL NYX SALE50,1,null,true,0,1
10291,PL Torba,1,null,true,0,1
10292,PL NYX BDAY,1,null,true,0,1
10293,PL NYX STYLOWE,1,null,true,0,1
10294,PL NYX WYSOKIE17,1,null,true,0,1
10295,PL_Black_Friday_2017,1,30% discount on everything,true,0,1
10296,PL_NYX_BDAYBASH,1,null,true,0,1
10297,PL_Christmas_2017,1,null,true,0,1
10298,PL NYX BDAY SALE,1,null,true,0,1
10299,PL_christmas_beautician,1,Gift with purchase over 169 zl,false,0,1
11820024,KIE_IT_2020-03-24_No_End_Date_COUPONSX41,2,null,true,0,41
10301,RUNBIOTHERM,1,null,true,0,1
10302,MOTHER,1,null,true,0,1
10303,SORPRESA,1,null,true,0,1
10304,CUMPLE,1,null,true,0,1
10305,VIP40,1,null,true,0,1
10306,LIVRAISONBIO,1,null,true,0,1
