promotion_id,npromotion_id,display_name,promotion_class,is_continuous,valid_from,valid_to
16670007,FR_GWP2_VACANCES_20190805,FR_GWP2_VACANCES_20190805,ORDER,true,,
16670008,E2-FIRSTORDER-CH,E2-FIRSTORDER-CH,ORDER,true,,
16670009,DE_lastchance_sets_2019,DE_lastchance_sets_2019,PRODUCT,true,,
16670010,FR_VEEPEE_DISCOUNT_20190807,FR_VEEPEE_DISCOUNT_20190807,ORDER,true,,
16670011,DIS_UNI_20OFF_EXCLSTAYNAKED,DIS_UNI_20OFF_EXCLSTAYNAKED,PRODUCT,true,,
16670012,FR_VEEPEE_FREE-SHIPPING-RL,FR_VEEPEE_FREE-SHIPPING-RL,SHIPPING,true,,
16670013,FR-3xNAKED-GWP,FR-3xNAKED-GWP,PRODUCT,true,,
16670014,pl-15-off-for-150-more,pl-15-off-for-150-more,ORDER,false,,
16670015,FR-GWPforOder-Best&Loyal-FEMME,FR-GWPforOder-Best&Loyal-FEMME,ORDER,true,,
16670016,FR-Discount30%-Best&Loyal,FR-Discount30%-Best&Loyal,PRODUCT,true,,
16670017,GWP_UAE_EID19_campaign,GWP_UAE_EID19_campaign,ORDER,true,,
16670018,ES_DISCOUNT_GETTHEGLOSS10_20190805,ES_DISCOUNT_GETTHEGLOSS10_20190805,PRODUCT,false,,
16670019,E2-BNL-F&F-AUGUST19,E2-BNL-F&F-AUGUST19,ORDER,true,,
16670020,pl-20%-off,pl-20%-off,ORDER,true,,
16670021,E2-DK-F&F-AUGUST19,E2-DK-F&F-AUGUST19,ORDER,true,,
16670022,E2-SE-F&F-AUGUST19-VIP,E2-SE-F&F-AUGUST19-VIP,ORDER,true,,
16670023,E2-BNL-F&F-AUGUST19-VIP,E2-BNL-F&F-AUGUST19-VIP,ORDER,true,,
35940080,KIE_UK_2020_DIS_20-OFF-HGS,KIE_UK_2020_DIS_20-OFF-HGS,PRODUCT,true,,
16670024,es-agosto-neceser,es-agosto-neceser,ORDER,false,,
16670025,UK_DISCOUNT_GETTHEGLOSS10_20190806,UK_DISCOUNT_GETTHEGLOSS10_20190806,PRODUCT,true,,
16670026,ES_DISCOUNT_HEYRATOLINA_20190805,ES_DISCOUNT_HEYRATOLINA_20190805,PRODUCT,true,,
16670027,FR_VEEPEE_FREE-SHIPPING-6A,FR_VEEPEE_FREE-SHIPPING-6A,SHIPPING,true,,
16670028,GWP_OPTILLUSIONDLX_35SPEND,GWP_OPTILLUSIONDLX_35SPEND,ORDER,true,,
16670029,E2-DK-F&F-AUGUST19-VIP,E2-DK-F&F-AUGUST19-VIP,ORDER,true,,
16670030,DE_ITC_Angebote_20off,DE_ITC_Angebote_20off,PRODUCT,true,,
16670031,pl-25-off-for-250-more,pl-25-off-for-250-more,ORDER,false,,
16670032,GWP_AUGPAYDAY_3DLX_SPEND50,GWP_AUGPAYDAY_3DLX_SPEND50,ORDER,true,,
16670033,FR-GWPforOder-Best&Loyal-HOMME,FR-GWPforOder-Best&Loyal-HOMME,ORDER,true,,
16670034,GWP_LIBRE-YSL_20190807,GWP_LIBRE-YSL_20190807,ORDER,true,,
16640001,ES_DISCOUNT_MYCRAZYMAKEUP_20190805,ES_DISCOUNT_MYCRAZYMAKEUP_20190805,PRODUCT,true,,
16670035,pl-30%-off,pl-30%-off,PRODUCT,true,,
16670036,E2-NO-F&F-AUGUST19-VIP,E2-NO-F&F-AUGUST19-VIP,ORDER,true,,
16670037,DE_srcFeuchtigkeit,DE_srcFeuchtigkeit,ORDER,true,,
16670038,E2-SE-F&F-AUGUST19,E2-SE-F&F-AUGUST19,ORDER,true,,
16580001,pl-sierpien,pl-sierpien,ORDER,true,,
16790001,DE_lastchance_25_2019,DE_lastchance_25_2019,PRODUCT,true,,
16770001,CZ_GTL_All Nighter DLX,CZ_GTL_All Nighter DLX,ORDER,true,,
16720001,ro-free-shipping,ro-free-shipping,SHIPPING,true,,
16690001,pl-30%-off-3months,pl-30%-off-3months,ORDER,true,,
16730001,FR-PureVitality-Leaflet,FR-PureVitality-Leaflet,ORDER,true,,
16750001,DE_Staffel_August_2019_2,DE_Staffel_August_2019_2,ORDER,true,,
16680001,pl-social-campaign,pl-social-campaign,PRODUCT,true,,
16710001,es-agosto-martes13-muestras,es-agosto-martes13-muestras,ORDER,true,,
16740001,DE_Staffel_August_2019_3,DE_Staffel_August_2019_3,ORDER,true,,
16800001,UK_DISCOUNT_OUTLET_40_20190220,UK_DISCOUNT_OUTLET_40_20190220,PRODUCT,true,,
