request_date,site_id,api_resource,api_name,api_version,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11,api_family
2024-01-08 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4322,2259335,2127,2115,60,17,1,2,0,0,0,0,0,
2024-01-31 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,2,20016,0,0,0,0,0,0,0,0,0,0,2,
2024-01-15 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4310,2306357,2125,2017,128,27,8,3,0,1,0,0,1,
2024-01-30 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4305,2237479,2120,2096,76,9,3,1,0,0,0,0,0,
2024-01-25 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4310,2224075,2142,2102,54,11,0,0,0,0,0,1,0,
2024-01-12 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4266,2222687,2112,2062,76,13,3,0,0,0,0,0,0,
2024-02-04 00:00:00.000,-1,__UNKNOWN__,echo,v1,500,GET,1,3065,0,0,0,0,0,0,1,0,0,0,0,
2024-01-18 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4281,2247711,2127,2078,63,9,1,0,1,2,0,0,0,
2024-01-21 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4287,2180251,2122,2100,55,10,0,0,0,0,0,0,0,
2024-01-23 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4308,2287695,2090,2137,69,11,1,0,0,0,0,0,0,
2024-01-22 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10009,0,0,0,0,0,0,0,0,0,0,1,
2024-02-01 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4299,2330639,2054,2099,121,23,2,0,0,0,0,0,0,
2024-02-04 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4318,2330533,2073,2073,139,25,7,0,0,1,0,0,0,
2024-02-05 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4311,2347944,2062,2124,102,19,3,0,1,0,0,0,0,
2024-02-10 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4326,2301641,2110,2100,90,23,3,0,0,0,0,0,0,
2024-01-24 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4251,2223874,2092,2070,75,11,3,0,0,0,0,0,0,
2024-02-02 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4297,2315614,2077,2080,108,24,5,3,0,0,0,0,0,
2024-01-26 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4282,2222972,2106,2102,57,15,0,0,2,0,0,0,0,
2024-02-07 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4275,2373814,2035,2072,141,25,2,0,0,0,0,0,0,
2024-02-01 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9008,0,0,0,0,0,0,0,0,0,0,1,
